He,PP,B0
,B1,
and,CC,B0
,B0,
Tag,NP,B1
,B0,
contributed,VBD,B0
,B0,
to,TO,B0
,B0,
dozens,NNS,B0
,B1,
of,IN,B0
,B0,
local,JJ,B0
,B0,
and,CC,B0
,B0,
national,JJ,B0
,B0,
organizations,NNS,B1
,B2,
",",",",B0
,B0,
foundations,NNS,B1
,B2,
",",",",B0
,B0,
and,CC,B0
,B0,
public,JJ,B0
,B0,
service,NN,B0
,B0,
groups,NNS,B2
,B2,
.,.,B0
,B0,
Conversely,RB,B1
,B1,
",",",",B0
,B0,
when,WRB,B0
,B0,
you,PP,B0
,B0,
send,VBP,B0
,B0,
data,NNS,B1
,B0,
from,IN,B0
,B0,
the,DT,B0
,B0,
back,JJ,B0
,B0,
end,NN,B2
,B2,
",",",",B0
,B2,
you,PP,B0
,B2,
want,VBP,B0
,B2,
to,TO,B0
,B2,
ensure,VB,B1
,B2,
it,PP,B0
,B2,
respects,VBZ,B0
,B2,
safeguards,NNS,B2
,B2,
.,.,B0
,B0,
Company,NN,B0
,B0,
officials,NNS,B1
,B1,
said,VBD,B0
,B0,
the,DT,B0
,B0,
compact,JJ,B0
,B0,
heaters,NNS,B1
,B1,
hit,VBD,B0
,B0,
a,DT,B0
,B0,
lower,JJR,B0
,B0,
price,NN,B0
,B0,
range,NN,B2
,B2,
and,CC,B0
,B0,
can,MD,B0
,B0,
be,VB,B0
,B0,
sold,VBN,B1
,B1,
as,IN,B0
,B0,
cash,NN,B0
,B2,
and,CC,B0
,B0,
carry,VB,B0
,B0,
items,NNS,B2
,B2,
.,.,B0
,B0,
It,PP,B0
,B0,
s,VBZ,B0
,B0,
why,WRB,B1
,B2,
",",",",B0
,B0,
on,IN,B0
,B0,
a,DT,B0
,B0,
gut,NN,B0
,B0,
level,NN,B1
,B2,
",",",",B0
,B0,
we,PP,B0
,B0,
all,RB,B0
,B0,
have,VBP,B0
,B0,
some,DT,B0
,B0,
suspicion,NN,B0
,B1,
about,IN,B1
,B0,
an,DT,B0
,B0,
Artificial,NP,B0
,B0,
Intelligence,NP,B0
,B0,
future,NN,B2
,B2,
.,.,B0
,B0,
She,PP,B0
,B0,
said,VBD,B1
,B0,
she,PP,B0
,B0,
s,VBZ,B0
,B0,
both,DT,B0
,B0,
challenged,VBN,B1
,B1,
and,CC,B0
,B0,
energized,VBN,B1
,B0,
by,IN,B0
,B0,
the,DT,B0
,B0,
opportunity,NN,B0
,B0,
in,IN,B0
,B0,
the,DT,B0
,B0,
rug,NN,B0
,B0,
business,NN,B0
,B0,
right,RB,B0
,B0,
now,RB,B2
,B2,
.,.,B0
,B0,
Our,PP$,B0
,B0,
view,NN,B1
,B1,
is,VBZ,B0
,B0,
that,IN,B0
,B0,
the,DT,B0
,B0,
holiday,NN,B0
,B0,
season,NN,B1
,B1,
is,VBZ,B0
,B0,
a,DT,B0
,B0,
marathon,NN,B2
,B2,
",",",",B0
,B0,
not,RB,B0
,B0,
a,DT,B0
,B0,
sprint,NN,B2
,B2,
.,.,B0
,B0,
Hodges,NP,B0
,B0,
said,VBD,B1
,B0,
last,JJ,B0
,B0,
year,NN,B0
,B0,
s,POS,B0
,B0,
Pinnacle,NP,B0
,B0,
judges,NNS,B1
,B1,
were,VBD,B0
,B0,
enthusiastic,JJ,B1
,B0,
about,IN,B0
,B0,
a,DT,B0
,B0,
green,JJ,B0
,B0,
design,NN,B0
,B0,
award,NN,B2
,B2,
.,.,B0
,B0,
If,IN,B0
,B0,
there,EX,B0
,B0,
is,VBZ,B0
,B0,
an,DT,B0
,B0,
investigation,NN,B1
,B1,
",",",",B0
,B0,
the,DT,B0
,B0,
process,NN,B0
,B0,
is,VBZ,B0
,B0,
expected,VBN,B0
,B0,
to,TO,B0
,B0,
conclude,VB,B1
,B0,
in,IN,B0
,B0,
early,JJ,B0
,B0,
March,NP,B1
,B1,
at,IN,B0
,B0,
the,DT,B0
,B0,
soonest,JJS,B2
,B2,
.,.,B0
,B0,
While,IN,B0
,B0,
most,JJS,B0
,B0,
of,IN,B0
,B0,
these,DT,B0
,B0,
posts,NNS,B0
,B1,
already,RB,B0
,B0,
are,VBP,B0
,B0,
filled,VBN,B2
,B1,
",",",",B0
,B0,
the,DT,B0
,B0,
search,NN,B0
,B0,
is,VBZ,B0
,B0,
on,IN,B1
,B0,
to,TO,B0
,B0,
fill,VB,B0
,B0,
the,DT,B0
,B0,
roster,NN,B2
,B1,
",",",",B0
,B0,
he,PP,B0
,B0,
said,VBD,B2
,B2,
.,.,B0
,B0,
Amazon,NP,B0
,B0,
hasn't,VBZ,B0
,B0,
quite,RB,B0
,B0,
figured,VBD,B0
,B0,
this,DT,B0
,B0,
part,NN,B0
,B0,
out,RP,B0
,B2,
",",",",B2
,B0,
but,CC,B2
,B0,
it,PP,B2
,B0,
s,VBZ,B2
,B0,
at,IN,B2
,B0,
least,JJS,B2
,B0,
taking,VBG,B2
,B0,
a,DT,B2
,B0,
seat,NN,B2
,B1,
at,IN,B2
,B0,
the,DT,B2
,B0,
table,NN,B2
,B2,
.,.,B0
,B0,
Clad,NN,B0
,B0,
in,IN,B0
,B0,
pajamas,NNS,B1
,B1,
and,CC,B0
,B0,
ready,JJ,B0
,B0,
for,IN,B0
,B0,
sleep,NN,B2
,B2,
",",",",B0
,B0,
the,DT,B0
,B0,
team,NN,B0
,B0,
stealthily,RB,B0
,B0,
makes,VBZ,B0
,B0,
its,PP$,B0
,B0,
way,NN,B1
,B1,
to,TO,B0
,B0,
a,DT,B0
,B0,
small,JJ,B0
,B0,
back,NN,B0
,B0,
office,NN,B2
,B2,
.,.,B0
,B0,
I,PP,B0
,B0,
ll,MD,B0
,B0,
be,VB,B0
,B0,
talking,VBG,B0
,B0,
more,JJR,B0
,B0,
in,IN,B0
,B0,
depth,NN,B0
,B0,
about,IN,B0
,B0,
personal,JJ,B0
,B0,
goal,NN,B0
,B0,
setting,VBG,B2
,B0,
the,DT,B0
,B0,
next,JJ,B0
,B0,
several,JJ,B0
,B0,
weeks,NNS,B1
,B0,
to,TO,B0
,B0,
my,PP$,B0
,B0,
personal,JJ,B0
,B0,
list,NN,B2
,B2,
.,.,B0
,B0,
The,DT,B0
,B0,
Jacobean,JJ,B0
,B0,
old,JJ,B0
,B0,
prints,NNS,B0
,B0,
of,IN,B0
,B0,
the,DT,B0
,B0,
past,NN,B2
,B1,
are,VBP,B2
,B0,
not,RB,B2
,B0,
a,DT,B2
,B0,
part,NN,B2
,B0,
of,IN,B2
,B0,
us,PP,B2
,B0,
any,DT,B2
,B0,
longer,RBR,B2
,B2,
.,.,B0
,B0,
While,IN,B0
,B0,
you,PP,B0
,B0,
may,MD,B0
,B0,
find,VB,B0
,B0,
it,PP,B0
,B0,
difficult,JJ,B0
,B0,
to,TO,B0
,B0,
believe,VB,B2
,B2,
",",",",B0
,B0,
in,IN,B0
,B0,
my,PP$,B0
,B0,
teens,NNS,B1
,B1,
and,CC,B0
,B0,
twenties,NNS,B1
,B0,
I,PP,B0
,B0,
was,VBD,B0
,B0,
no,DT,B0
,B0,
athlete,NN,B2
,B2,
",",",",B0
,B2,
sexual,JJ,B0
,B2,
or,CC,B0
,B2,
otherwise,RB,B2
,B2,
.,.,B0
,B0,
We,PP,B0
,B0,
took,VBD,B0
,B0,
those,DT,B0
,B0,
unlucky,JJ,B0
,B0,
specimens,NNS,B1
,B1,
and,CC,B0
,B0,
sliced,VBN,B0
,B1,
and,CC,B0
,B0,
diced,VBN,B0
,B0,
them,PP,B2
,B1,
",",",",B0
,B0,
all,RB,B0
,B0,
in,IN,B0
,B0,
the,DT,B0
,B0,
name,NN,B0
,B0,
of,IN,B0
,B0,
science,NN,B2
,B2,
.,.,B0
,B0,
As,IN,B0
,B0,
a,DT,B0
,B0,
hub,NN,B0
,B0,
of,IN,B0
,B0,
commerce,NN,B0
,B0,
and,CC,B0
,B0,
tourism,NN,B2
,B2,
",",",",B2
,B0,
Dubai,NP,B2
,B0,
is,VBZ,B2
,B0,
said,VBN,B2
,B0,
to,TO,B2
,B0,
be,VB,B2
,B0,
among,IN,B2
,B0,
the,DT,B2
,B0,
most,RBS,B2
,B0,
visited,VBN,B2
,B0,
cities,NNS,B2
,B1,
in,IN,B2
,B0,
the,DT,B2
,B0,
world,NN,B2
,B2,
.,.,B0
,B0,
Basically,RB,B0
,B0,
we,PP,B0
,B0,
got,VBD,B0
,B0,
jammed,VBN,B0
,B0,
up,RP,B0
,B0,
at,IN,B0
,B0,
the,DT,B0
,B0,
ports,NNS,B1
,B1,
over,IN,B0
,B0,
the,DT,B0
,B0,
past,JJ,B0
,B0,
few,JJ,B0
,B0,
months,NNS,B2
,B1,
and,CC,B0
,B0,
it,PP,B0
,B0,
really,RB,B0
,B0,
affected,VBD,B0
,B0,
us,PP,B2
,B2,
.,.,B0
,B0,
Butch,NP,B0
,B0,
could,MD,B0
,B0,
have,VB,B0
,B0,
closed,VBN,B2
,B0,
the,DT,B0
,B0,
book,NN,B2
,B1,
on,IN,B0
,B0,
what,WP,B0
,B0,
was,VBD,B0
,B0,
an,DT,B0
,B0,
exciting,JJ,B0
,B0,
and,CC,B1
,B0,
successful,JJ,B0
,B0,
run,NN,B2
,B2,
.,.,B0
,B0,
Vaughan,NP,B1
,B1,
",",",",B0
,B0,
in,IN,B0
,B0,
the,DT,B0
,B0,
past,JJ,B2
,B2,
",",",",B0
,B0,
was,VBD,B0
,B0,
one,NN,B0
,B0,
of,IN,B0
,B0,
the,DT,B0
,B0,
biggest,JJS,B0
,B0,
powerhouses,NNS,B1
,B1,
in,IN,B0
,B0,
the,DT,B0
,B0,
business,NN,B2
,B2,
.,.,B0
,B0,
Visuals,NNS,B0
,B0,
are,VBP,B0
,B0,
stimulating,VBG,B2
,B2,
",",",",B0
,B2,
create,VBP,B0
,B2,
an,DT,B0
,B2,
emotional,JJ,B0
,B2,
connection,NN,B1
,B2,
and,CC,B0
,B0,
can,MD,B0
,B0,
say,VB,B0
,B0,
so,RB,B0
,B0,
much,RB,B1
,B0,
about,IN,B0
,B0,
you,PP,B0
,B0,
and,CC,B0
,B0,
your,PP$,B0
,B0,
brand,NN,B2
,B2,
.,.,B0
,B0,
I,PP,B0
,B0,
will,MD,B0
,B0,
help,VB,B0
,B0,
you,PP,B0
,B0,
understand,VB,B1
,B1,
and,CC,B0
,B0,
contextualize,VB,B2
,B0,
what,WP,B0
,B0,
the,DT,B0
,B0,
opportunities,NNS,B0
,B1,
are,VBP,B1
,B0,
on,IN,B0
,B0,
the,DT,B0
,B0,
internet,NN,B2
,B2,
.,.,B0
,B0,
It,PP,B0
,B0,
is,VBZ,B0
,B0,
also,RB,B0
,B0,
attracting,VBG,B0
,B0,
more,JJR,B0
,B0,
residents,NNS,B1
,B1,
from,IN,B0
,B0,
the,DT,B0
,B0,
Chicago,NP,B0
,B0,
suburbs,NNS,B2
,B1,
an,DT,B0
,B0,
hour,NN,B0
,B0,
away,RB,B2
,B2,
.,.,B0
,B0,
Though,IN,B0
,B0,
he,PP,B0
,B0,
worked,VBD,B0
,B0,
for,IN,B0
,B0,
me,PP,B2
,B2,
",",",",B2
,B0,
not,RB,B2
,B0,
a,DT,B2
,B0,
day,NN,B2
,B0,
passed,VBD,B2
,B1,
that,IN,B2
,B0,
he,PP,B2
,B0,
didn't,VBD,B2
,B0,
teach,VB,B2
,B0,
me,PP,B2
,B0,
something,NN,B2
,B0,
valuable,JJ,B2
,B2,
.,.,B0
,B0,
Its,PP$,B0
,B0,
composite,JJ,B0
,B0,
fabrics,NNS,B0
,B1,
are,VBP,B0
,B0,
also,RB,B0
,B0,
sold,VBN,B1
,B0,
to,TO,B0
,B0,
manufacturers,NNS,B1
,B0,
of,IN,B0
,B0,
home,NN,B0
,B0,
furnishings,NNS,B2
,B2,
",",",",B0
,B0,
yachts,NNS,B2
,B2,
",",",",B0
,B2,
aircraft,NN,B1
,B2,
and,CC,B0
,B2,
custom,NN,B0
,B2,
automobiles,NNS,B2
,B2,
.,.,B0
,B0,
Also,RB,B0
,B0,
watch,VBP,B0
,B0,
for,IN,B0
,B0,
our,PP$,B0
,B0,
report,NN,B1
,B0,
on,IN,B0
,B0,
the,DT,B0
,B0,
Singapore,NP,B0
,B0,
show,NN,B2
,B2,
",",",",B0
,B0,
which,WDT,B0
,B0,
will,MD,B0
,B0,
run,VB,B1
,B0,
in,IN,B0
,B0,
next,JJ,B0
,B0,
week,NN,B0
,B0,
s,POS,B0
,B0,
edition,NN,B2
,B2,
.,.,B0
,B0,
The,DT,B0
,B0,
newest,JJS,B1
,B2,
",",",",B0
,B0,
and,CC,B0
,B0,
most,RBS,B0
,B0,
comprehensive,JJ,B2
,B2,
",",",",B0
,B0,
customer,NN,B0
,B0,
satisfaction,NN,B0
,B0,
research,NN,B0
,B0,
results,NNS,B0
,B1,
are,VBP,B0
,B0,
in,IN,B2
,B2,
",",",",B0
,B2,
and,CC,B0
,B2,
may,MD,B0
,B2,
surprise,VB,B0
,B2,
you,PP,B2
,B2,
.,.,B0
,B0,
Fitzgerald,NP,B0
,B0,
comes,VBZ,B0
,B0,
to,TO,B0
,B0,
us,PP,B0
,B0,
with,IN,B0
,B0,
a,DT,B0
,B0,
lifetime,NN,B1
,B0,
of,IN,B0
,B0,
logistics,NNS,B0
,B0,
experience,NN,B2
,B2,
",",",",B0
,B0,
Art,NP,B0
,B0,
Van,NP,B1
,B1,
said,VBD,B0
,B0,
in,IN,B0
,B0,
a,DT,B0
,B0,
statement,NN,B2
,B2,
.,.,B0
,B0,
Many,JJ,B0
,B0,
times,NNS,B1
,B0,
I,PP,B0
,B0,
d,MD,B0
,B0,
go,VB,B0
,B0,
out,RP,B0
,B1,
to,TO,B0
,B0,
houses,NNS,B0
,B1,
early,JJ,B0
,B0,
in,IN,B0
,B0,
the,DT,B0
,B0,
season,NN,B1
,B0,
to,TO,B0
,B0,
redecorate,NNS,B0
,B1,
for,IN,B0
,B0,
my,PP$,B0
,B0,
friends,NNS,B2
,B2,
.,.,B0
,B0,
Everyone,PP,B0
,B0,
knew,VBD,B1
,B0,
it,PP,B0
,B0,
would,MD,B0
,B0,
be,VB,B0
,B0,
a,DT,B0
,B0,
tall,JJ,B0
,B0,
order,NN,B1
,B0,
to,TO,B0
,B0,
combine,VB,B0
,B0,
Metro,NN,B1
,B1,
with,IN,B0
,B0,
the,DT,B0
,B0,
Windows,NP,B0
,B0,
desktop,NN,B2
,B1,
in,IN,B0
,B0,
an,DT,B0
,B0,
elegant,JJ,B0
,B0,
way,NN,B2
,B2,
.,.,B0
,B0,
The,DT,B0
,B0,
Polaris,NN,B0
,B0,
Parkway,NP,B0
,B0,
store,NN,B1
,B1,
is,VBZ,B0
,B0,
one,NN,B0
,B0,
of,IN,B0
,B0,
five,NN,B2
,B1,
that,WDT,B0
,B0,
will,MD,B0
,B0,
test,VB,B0
,B0,
a,DT,B0
,B0,
new,JJ,B0
,B0,
look,NN,B1
,B0,
and,CC,B0
,B0,
layout,NN,B2
,B2,
.,.,B0
,B0,
Apartment,NN,B0
,B0,
dwellers,NNS,B1
,B1,
on,IN,B0
,B0,
the,DT,B0
,B0,
other,JJ,B2
,B0,
can,MD,B0
,B0,
spend,VB,B2
,B0,
that,DT,B0
,B0,
money,NN,B1
,B0,
on,IN,B0
,B0,
things,NNS,B0
,B0,
like,IN,B0
,B0,
furniture,NN,B2
,B2,
.,.,B0
,B0,
Administrators,NNS,B1
,B0,
can,MD,B0
,B0,
specify,VB,B1
,B0,
how,WRB,B0
,B0,
long,JJ,B0
,B0,
a,DT,B0
,B0,
query,NN,B0
,B1,
is,VBZ,B0
,B0,
allowed,VBN,B2
,B0,
to,TO,B0
,B0,
run,VB,B0
,B0,
before,IN,B0
,B0,
it,PP,B0
,B0,
is,VBZ,B0
,B0,
canceled,VBN,B2
,B2,
.,.,B0
,B0,
It,PP,B0
,B0,
s,VBZ,B0
,B0,
unusual,JJ,B0
,B0,
for,IN,B0
,B0,
those,DT,B0
,B0,
figures,NNS,B1
,B0,
to,TO,B0
,B0,
be,VB,B0
,B0,
so,RB,B0
,B0,
different,JJ,B0
,B1,
from,IN,B0
,B0,
those,DT,B0
,B0,
of,IN,B0
,B0,
the,DT,B0
,B0,
forecasts,NNS,B2
,B2,
.,.,B0
,B0,
After,IN,B0
,B0,
all,DT,B1
,B2,
",",",",B0
,B0,
children,NNS,B0
,B0,
need,VBP,B0
,B1,
as,IN,B0
,B0,
much,JJ,B0
,B0,
quality,NN,B0
,B0,
sleep,NN,B2
,B0,
they,PP,B0
,B0,
can,MD,B0
,B0,
get,VB,B2
,B1,
as,IN,B0
,B0,
they,PP,B0
,B0,
continue,VBP,B0
,B0,
to,TO,B0
,B0,
mature,VB,B1
,B1,
and,CC,B0
,B0,
develop,VB,B2
,B2,
.,.,B0
,B0,
I,PP,B0
,B0,
was,VBD,B0
,B0,
so,RB,B0
,B0,
proud,JJ,B0
,B0,
of,IN,B0
,B0,
myself,PP,B1
,B0,
to,TO,B0
,B0,
have,VB,B0
,B0,
done,VBN,B0
,B0,
this,DT,B0
,B0,
in,IN,B0
,B0,
front,NN,B0
,B0,
of,IN,B0
,B0,
my,PP$,B0
,B0,
boss,NN,B2
,B2,
.,.,B0
,B0,
And,CC,B0
,B0,
it,PP,B0
,B0,
doesn't,VBZ,B0
,B0,
look,VB,B0
,B0,
like,IN,B0
,B0,
this,DT,B0
,B0,
trend,NN,B0
,B0,
will,MD,B0
,B0,
ebb,VB,B0
,B0,
over,IN,B1
,B0,
the,DT,B0
,B0,
next,JJ,B0
,B0,
months,NNS,B0
,B2,
.,.,B0
,B0,
In,IN,B0
,B0,
other,JJ,B0
,B0,
words,NNS,B2
,B2,
",",",",B0
,B0,
I,PP,B0
,B0,
have,VBP,B0
,B0,
to,TO,B0
,B0,
keep,VB,B0
,B0,
listening,VBG,B2
,B1,
and,CC,B0
,B0,
learning,VBG,B2
,B1,
and,CC,B0
,B0,
never,RB,B0
,B0,
make,VB,B0
,B0,
the,DT,B0
,B0,
mistake,NN,B1
,B0,
of,IN,B0
,B0,
going,VBG,B0
,B0,
on,IN,B0
,B0,
autopilot,NN,B2
,B2,
.,.,B0
,B0,
He,PP,B0
,B0,
competed,VBD,B1
,B0,
in,IN,B0
,B0,
marathons,NNS,B1
,B1,
and,CC,B0
,B0,
cycling,NN,B0
,B0,
events,NNS,B2
,B2,
",",",",B0
,B0,
loved,VBD,B0
,B0,
music,NN,B2
,B2,
",",",",B0
,B0,
and,CC,B0
,B0,
had,VBD,B0
,B0,
learned,VBN,B0
,B0,
to,TO,B0
,B0,
play,VB,B0
,B0,
the,DT,B0
,B0,
violin,NN,B1
,B1,
in,IN,B0
,B0,
recent,JJ,B0
,B0,
years,NNS,B2
,B2,
.,.,B0
,B0,
Owls,NNS,B2
,B2,
",",",",B0
,B2,
elephants,NNS,B2
,B2,
and,CC,B0
,B2,
a,DT,B0
,B2,
multitude,NN,B0
,B2,
of,IN,B0
,B2,
other,JJ,B0
,B2,
animals,NNS,B1
,B2,
popped,VBD,B0
,B2,
up,RP,B0
,B2,
